Location,Latitude,Longitude,Bedrooms,Garage,Bathrooms,Price
East legon hills,5.6927588,-0.1004742,4,,5,1968600
East legon,5.6392848,-0.1624589,5,,4,4778014
Adenta,5.7041391,-0.1687965,2,,2,545600
East legon hills,5.6927588,-0.1004742,4,,5,1968600
Adenta,5.7041391,-0.1687965,3,,3,979600
East legon hills,5.6927588,-0.1004742,4,,5,1968600
East legon,5.6392848,-0.1624589,5,,4,4778014
Tantra hills,5.6450157,-0.2513206,4,4,5,2774000
Oyarifa ,5.756972,-0.1748633,5,4,6,1570000
Amrahia,5.7859227,-0.1479506,10,10,10,1850000
Achimota,5.6242019,-0.2276807,4,2,4,1600000
East legon hills,5.6927588,-0.1004742,3,4,4,840000
Kwabenya,5.6738604,-0.2488115,5,5,4,5000000
Ashongman,5.697026,-0.2338194,6,4,4,500000
Dzorwulu,5.6130923,-0.1991566,5,,5,9450000
Ashongman,5.697026,-0.2338194,6,4,4,500000
Dzorwulu,5.6130923,-0.1991566,5,,5,9450000
Airport residential area,5.6132499,-0.1832656,5,1582,5,10877800
Adenta,5.7041391,-0.1687965,3,,3,870224
East airport,5.6271981,-0.1080795,4,,4,1175000
Pokuase,5.6892131,-0.2826359,6,1,6,4120000
Abokobi,5.7381697,-0.1948689,3,4,3,580000
Kasoa,5.532573,-0.437491,2,,1,300000
Oyarifa,5.756972,-0.1748633,3,1,3,820000
Tse addo $340,5.5741658,-0.1401788,3,,4,2550000
Oyarifa,5.756972,-0.1748633,2,,1,559133
Agbogba,5.6918579,-0.1984465,4,2,5,924613
Aburi,5.8474757,-0.1752664,5,10,5,17000000
Spintex,5.6288265,-0.0901987,4,,5,2415000
East legon hills,5.6927588,-0.1004742,3,,4,1599476
East legon hills,5.6927588,-0.1004742,3,,4,1054000
East legon hills,5.6927588,-0.1004742,3,,4,996200
East legon hills,5.6927588,-0.1004742,4,,5,1968600
Tema comm. 25,5.6791912,-0.0229697,4,1,3,1467570
Achimota,5.6242019,-0.2276807,6,,6,8000000
Adenta,5.7041391,-0.1687965,5,,4,850000
Lashibi,5.6850117,-0.0383551,3,1,3,1975333
Oyibi,5.8142534,-0.121343,3,,3,659232
Tse addo,5.571400049999999,-0.13534024999999966,5,4,5,5934987
Kwabenya,5.6738604,-0.2488115,6,,5,1096603
Tema ,5.6596441,-0.0096592,6,,6,1380000
Tse addo,5.571400049999999,-0.13534024999999966,4,1,4,2432000
Adenta,5.7041391,-0.1687965,3,3,4,945000
Oyarifa,5.756972,-0.1748633,3,,2,900000
Oyarifa,5.756972,-0.1748633,4,2,4,1522892
Dansoman,5.5468112,-0.2656595,10,4,5,1500000
East legon hills,5.6927588,-0.1004742,4,3,4,2400000
Adjiringanor,5.6496506,-0.1366577,4,2,4,2625000
East legon hills,5.6927588,-0.1004742,2,3,3,365000
East legon hills,5.6927588,-0.1004742,4,,5,1400000
East legon,5.6392848,-0.1624589,4,1,5,3240000
East legon,5.6392848,-0.1624589,5,,6,2400000
Spintex,5.6288265,-0.0901987,4,,5,5643750
East legon,5.6392848,-0.1624589,5,4,5,2940000
