Location,Bedrooms,Garage,Bathrooms,Price
Haatso,3,2,3,858169
Tse addo,2,,2,1133378
East legon hills,4,,5,1968600
East legon hills,3,,4,1599476
Haatso,3,2,3,858169
Tse addo,2,,2,1133378
"Dome,ghana",4,2,5,4966580
East legon - trasacco ,3,,3,1560000
Ayi mensah,3,3,3,960000
Ashongman,6,4,4,500000
East legon,4,,4,2100000
East legon hills,3,4,4,840000
East legon hills,4,,4,2000000
East airport,4,3,5,3010000
Lakeside estate,4,5,4,1542908
Afienya,4,,3,500000
Trasaco valley ,5,2,6,17600000
Cantonments,4,,4,4893070
East legon hills,8,4,10,782000
East legon hills,4,,5,1400000
Trasaco valley ,5,2,6,12000000
East legon,8,8,10,9000000
Haatso,4,2,5,2400000
Teshie-nungua,4,,3,410000
Kwabenya,6,,5,1096603
Tse addo,5,4,5,5934987
Oyibi,2,,2,596448
Accra,4,1,6,2451643
Oyibi,3,,3,659232
Oyibi,3,,3,753408
Lashibi,3,1,3,1975333
Dome ,5,4,5,1200000
East legon ,6,1,7,9600000
Tse addo,3,,3,1435612
Tse addo,3,,3,1851184
East legon hills,3,,4,1599476
East legon hills,3,,4,1054000
East legon hills,3,,4,996200
East legon,4,,4,3750000
East legon hills,3,,4,996200
Spintex,5,,6,2400000
Ashongman ,4,1,5,2183062
Spintex,3,,4,975000
Adenta newlegon,4,5,4,1237500
Adenta manucipal,3,150,4,830000
Adenta- amanforom ,3,10,3,1017900
Kwabenya,7,4,6,1875000
East airport tse addo ,3,4,4,3225000
Cantonments,5,10,4,11000000
Tesano,3,8,2,2610000
Adenta,4,,4,3011120
East legon,4,6,5,3700000
Paraku estates,4,,5,1467000
Kasoa,3,,3,330000
